33
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
900 50 1.98616 0.0360964 0.0390204 0.0441812 0.0447599 0.163467 5.91937
950 50 2.12244 0.0346248 0.0362597 0.0424051 0.0415952 0.1564 6.73757
125 75 2.40317 59.7226 34.6673 69.9419 41.6976 173.911 0.139393
175 75 2.48421 17.4764 10.4196 20.4584 12.6483 50.6598 0.20219
200 75 2.54761 9.24322 5.66939 10.7876 6.8884 26.9056 0.252815
225 75 2.61666 4.80957 3.16648 5.62006 3.82502 14.3694 0.314433
250 75 2.68949 2.49971 1.86671 2.94085 2.22671 7.89669 0.385792
275 75 2.76502 1.33945 1.18548 1.59431 1.39075 4.59209 0.467881
300 75 2.84227 0.766137 0.814234 0.92425 0.939094 2.86868 0.56368
325 75 2.92252 0.477056 0.598036 0.582526 0.680024 1.94001 0.674963
350 75 3.00404 0.322968 0.461509 0.397779 0.519099 1.40507 0.801159
375 75 3.08784 0.234671 0.368241 0.29071 0.411093 1.07432 0.939648
400 75 3.17348 0.180553 0.300446 0.224369 0.333904 0.855749 1.08725
425 75 3.26123 0.145247 0.24899 0.180704 0.276125 0.703144 1.24139
450 75 3.35121 0.121002 0.208911 0.150509 0.231574 0.591992 1.40045
475 75 3.44353 0.103582 0.177203 0.128729 0.196575 0.508476 1.56418
500 75 3.53831 0.0906203 0.151899 0.112473 0.168795 0.444146 1.73321
525 75 3.63538 0.0806991 0.131564 0.100018 0.146527 0.393605 1.90846
550 75 3.73575 0.0729048 0.115122 0.0901979 0.128558 0.353305 2.09128
575 75 3.83862 0.0666957 0.101771 0.0823745 0.113967 0.320711 2.28292
600 75 3.94414 0.0616161 0.090842 0.0759937 0.101996 0.294029 2.48478
625 75 4.05316 0.0574188 0.0818334 0.0707162 0.0921194 0.271936 2.69764
650 75 4.16502 0.0539031 0.0743635 0.0663043 0.0839028 0.253515 2.92283
675 75 4.28007 0.0509191 0.0681103 0.0625521 0.0770025 0.237973 3.16097
700 75 4.39838 0.0483867 0.0628419 0.0593725 0.0711845 0.224774 3.41313
725 75 4.51982 0.0462033 0.0583704 0.0566391 0.0662355 0.213424 3.67983
750 75 4.64524 0.0443169 0.0545542 0.0542667 0.0619962 0.203695 3.96196
775 75 4.77399 0.0426614 0.0512698 0.0522065 0.0583345 0.195276 4.25978
800 75 4.90646 0.0412284 0.0484319 0.0504204 0.0551631 0.187942 4.57424
850 75 5.18322 0.0388373 0.0438062 0.0474595 0.0499667 0.175952 5.25578
900 75 5.47817 0.0369651 0.0402349 0.0451658 0.0459234 0.166709 6.01028
950 75 5.79506 0.0354855 0.0374299 0.0433775 0.0427366 0.159592 6.84196
125 100 6.51371 32.0393 16.2265 37.1265 19.7677 87.9328 0.159354
175 100 6.68151 10.4189 5.51276 12.146 6.74687 28.7735 0.216061
200 100 6.83114 5.80972 3.22242 6.76386 3.93987 16.2718 0.263178
225 100 7.00002 3.18617 1.94836 3.72262 2.36289 9.2892 0.320746
250 100 7.17996 1.75478 1.24471 2.06863 1.48792 5.47727 0.388186
275 100 7.36629 1.00283 0.849471 1.19695 0.99813 3.40526 0.467007
300 100 7.55879 0.611453 0.618311 0.739324 0.714629 2.26188 0.559552
325 100 7.75619 0.402291 0.474645 0.491744 0.541165 1.60664 0.667113
350 100 7.95743 0.284336 0.379117 0.350298 0.427813 1.20899 0.789037
375 100 8.16305 0.213435 0.311292 0.264294 0.348639 0.952163 0.923368
400 100 8.37314 0.168293 0.260427 0.208901 0.290226 0.776384 1.06804
425 100 8.5879 0.137882 0.220824 0.171328 0.245381 0.650569 1.22096
450 100 8.80752 0.116493 0.189187 0.144697 0.209959 0.556589 1.38089
475 100 9.03221 0.100805 0.163543 0.125099 0.181492 0.484765 1.54742
500 100 9.2605 0.0889734 0.142575 0.110263 0.158355 0.428369 1.72061
525 100 9.49637 0.0797942 0.125341 0.0987212 0.139421 0.383374 1.90125
550 100 9.73881 0.072496 0.111105 0.0895568 0.123811 0.346906 2.09024
575 100 9.98584 0.0666366 0.0993116 0.0821822 0.110901 0.317058 2.28845
600 100 10.2389 0.0618048 0.0894823 0.0761084 0.100144 0.29229 2.49697
625 100 10.4983 0.057779 0.0812573 0.0710487 0.0911153 0.27162 2.71704
650 100 10.7641 0.0543923 0.0743297 0.0667932 0.0835003 0.254175 2.94953
