59
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
800 25 1.11175 0.0323837 0.0196802 0.0781006 0.0664405 0.223946 11.1219
850 25 1.2084 0.0303135 0.0156276 0.0727595 0.0606597 0.208966 12.7237
900 25 1.31521 0.0287031 0.0125577 0.0686166 0.0562426 0.197546 14.4957
950 25 1.4354 0.0274413 0.0099169 0.0653852 0.0528165 0.188807 16.4475
100 50 1.4342 192.618 46.3352 447.367 250.69 966.191 0.268451
125 50 1.4378 100.411 33.5313 241.686 130.955 510.561 0.309298
150 50 1.46647 51.733 19.216 125.41 66.5355 261.053 0.379778
175 50 1.5043 26.1279 10.2559 63.2887 33.1782 130.449 0.48192
200 50 1.54717 12.9625 5.37931 31.3001 16.4513 64.3218 0.614392
225 50 1.59219 6.3349 2.87463 15.2737 8.26157 31.6768 0.774068
250 50 1.63854 3.08414 1.62835 7.45897 4.32029 15.9072 0.958009
275 50 1.68777 1.53828 1.01066 3.75346 2.42788 8.40661 1.16774
300 50 1.73817 0.819048 0.704443 2.02247 1.49461 4.81108 1.4113
325 50 1.79027 0.478477 0.536639 1.19677 1.00387 3.01786 1.69532
350 50 1.84377 0.308312 0.424643 0.778007 0.723354 2.06183 2.01821
375 50 1.89958 0.216046 0.340893 0.548003 0.547844 1.50745 2.36992
400 50 1.95686 0.161813 0.275807 0.411049 0.429551 1.16034 2.74102
425 50 2.016 0.127598 0.222876 0.32373 0.345485 0.928345 3.1237
450 50 2.077 0.104638 0.180966 0.264809 0.283631 0.765828 3.51518
475 50 2.14034 0.0885022 0.14707 0.223139 0.237078 0.647714 3.91587
500 50 2.20577 0.0766842 0.1204 0.192565 0.201443 0.559145 4.32833
525 50 2.27352 0.0677439 0.0993099 0.169406 0.173796 0.491272 4.75628
550 50 2.3437 0.0607932 0.0826568 0.151375 0.152093 0.438157 5.2032
575 50 2.41638 0.0552739 0.0694703 0.137064 0.134851 0.395849 5.67217
600 50 2.49131 0.0507965 0.058943 0.125474 0.120971 0.361678 6.16598
625 50 2.56958 0.0471295 0.0504719 0.11594 0.109666 0.333627 6.68677
650 50 2.65024 0.0440735 0.0436366 0.108012 0.100339 0.310364 7.23657
675 50 2.7337 0.041492 0.037992 0.101309 0.0925701 0.290815 7.81647
700 50 2.82002 0.0392969 0.0332547 0.0956139 0.0860323 0.274272 8.42829
725 50 2.90913 0.037411 0.0293241 0.0907219 0.0804795 0.260132 9.07348
750 50 3.00158 0.0357725 0.0260525 0.0864946 0.075727 0.24796 9.75389
775 50 3.09689 0.0343448 0.0231276 0.0828125 0.0716375 0.237451 10.4711
800 50 3.19571 0.0331029 0.0206576 0.0795982 0.0680869 0.228312 11.2267
850 50 3.40357 0.031041 0.016596 0.0742862 0.0623022 0.213399 12.8593
900 50 3.6285 0.0294331 0.0133703 0.0701527 0.0578455 0.201923 14.662
950 50 3.87516 0.0281669 0.0107225 0.0669176 0.0543633 0.193073 16.6442
125 75 4.42928 48.3138 11.2831 115.303 56.2267 233.429 0.34807
175 75 4.59265 14.4671 4.29933 34.8916 16.261 68.63 0.508258
200 75 4.71124 7.6743 2.44457 18.472 8.68822 36.3542 0.634626
225 75 4.83661 3.99626 1.42555 9.62058 4.74038 19.2659 0.786978
250 75 4.96728 2.07495 0.886674 5.01837 2.71049 10.4468 0.961761
275 75 5.10193 1.10947 0.602996 2.71064 1.66006 5.97117 1.16175
300 75 5.23982 0.634302 0.462133 1.569 1.09899 3.66896 1.39441
325 75 5.38153 0.395217 0.372486 0.988197 0.781385 2.44445 1.66525
350 75 5.52538 0.26757 0.309391 0.674636 0.587953 1.74885 1.97293
375 75 5.67463 0.194691 0.25966 0.492843 0.461083 1.32503 2.31134
400 75 5.82655 0.149898 0.217868 0.379957 0.372447 1.04856 2.67296
425 75 5.98228 0.120631 0.182641 0.30544 0.3076 0.858255 3.0526
450 75 6.14204 0.100472 0.153094 0.253753 0.25853 0.721232 3.44699
475 75 6.30603 0.0860001 0.128436 0.216408 0.220575 0.61931 3.85515
500 75 6.47444 0.0752144 0.108024 0.188487 0.190766 0.541351 4.27833
