68
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
800 75 10.7828 0.0357415 0.0102649 0.088163 0.0442659 0.215556 8.28675
850 75 11.383 0.0335965 0.00763006 0.0820525 0.0404397 0.201472 9.51511
900 75 12.0238 0.0319237 0.00570899 0.0773332 0.0377822 0.190891 10.8683
950 75 12.7131 0.0305858 0.00396738 0.0736665 0.0357219 0.182743 12.3558
125 100 14.1462 28.2408 2.50086 47.7916 28.5399 108.237 0.328386
175 100 14.7159 9.1576 1.17674 15.4934 9.77589 35.5765 0.397874
200 100 15.0848 5.10315 0.729353 8.67341 5.52283 20.0226 0.469581
225 100 15.4738 2.79535 0.463907 4.87081 3.08794 11.3169 0.562135
250 100 15.8751 1.53702 0.314183 2.80922 1.76143 6.58474 0.674093
275 100 16.2831 0.876572 0.238913 1.71122 1.07238 4.05404 0.807999
300 100 16.7034 0.533736 0.199053 1.12063 0.713672 2.68246 0.967974
325 100 17.1306 0.350969 0.171576 0.789562 0.514386 1.90568 1.15584
350 100 17.5657 0.247927 0.149226 0.591865 0.393636 1.43702 1.37058
375 100 18.0096 0.18617 0.129528 0.465696 0.313915 1.13509 1.60928
400 100 18.4627 0.146853 0.112422 0.379948 0.25794 0.928073 1.86837
425 100 18.9256 0.120367 0.0974989 0.318502 0.216282 0.778847 2.14463
450 100 19.3986 0.101708 0.0838241 0.272597 0.183795 0.66686 2.43572
475 100 19.8824 0.0880167 0.0717803 0.237218 0.157909 0.580331 2.74056
500 100 20.3755 0.0776621 0.0612567 0.209307 0.136848 0.511939 3.05913
525 100 20.8826 0.0696299 0.0522882 0.186923 0.11965 0.457017 3.39229
550 100 21.4021 0.0632475 0.0448627 0.168728 0.105664 0.412254 3.74128
575 100 21.9329 0.0580984 0.038485 0.153768 0.0939509 0.375387 4.10762
600 100 22.4764 0.0538633 0.0330878 0.141342 0.084176 0.344731 4.49276
625 100 23.0332 0.0503321 0.0285233 0.13092 0.075973 0.318989 4.89846
650 100 23.6034 0.047358 0.024661 0.122106 0.0690671 0.297271 5.32567
675 100 24.1877 0.0448145 0.021376 0.114586 0.0632252 0.278769 5.77587
700 100 24.7862 0.0426312 0.0185699 0.108139 0.0582631 0.262983 6.25005
725 100 25.3995 0.0407524 0.0162747 0.10258 0.0541394 0.249409 6.74916
750 100 26.028 0.0391118 0.0141011 0.0977568 0.0504933 0.237718 7.27434
775 100 26.6721 0.0376792 0.0124162 0.0935529 0.0475794 0.227653 7.82682
800 100 27.327 0.0364048 0.0107445 0.0898738 0.0450448 0.218996 8.40812
850 100 28.7038 0.0342848 0.00813433 0.0837874 0.041309 0.205056 9.65907
900 100 30.1537 0.0326173 0.00619949 0.0790503 0.038655 0.194483 11.0339
950 100 31.6919 0.0312778 0.0044517 0.0753406 0.036582 0.186247 12.5414
150 125 34.6069 9.66643 0.850474 16.0624 9.90352 36.3927 0.404064
175 125 35.286 5.73286 0.587938 9.55168 5.99195 21.7872 0.441849
200 125 36.0868 3.333 0.392066 5.62907 3.54028 12.9337 0.503412
225 125 36.9472 1.91154 0.269309 3.3403 2.07765 7.7398 0.586844
250 125 37.8407 1.10983 0.196615 2.04576 1.25086 4.78722 0.69232
275 125 38.7557 0.672206 0.16651 1.32345 0.810424 3.12848 0.822253
300 125 39.6911 0.433411 0.145829 0.913978 0.565561 2.18025 0.979307
325 125 40.6352 0.298968 0.130288 0.671941 0.422623 1.61419 1.1641
350 125 41.6129 0.219471 0.116942 0.52061 0.332782 1.25685 1.37542
375 125 42.6008 0.169629 0.104787 0.420106 0.271967 1.01769 1.61095
400 125 43.6077 0.136792 0.0934999 0.349722 0.228008 0.848822 1.86772
425 125 44.6343 0.114057 0.0826236 0.298031 0.194124 0.724076 2.1435
450 125 45.6815 0.0976371 0.0724925 0.258617 0.167451 0.628726 2.43616
475 125 46.75 0.0853948 0.0633372 0.227714 0.145912 0.553703 2.74464
500 125 47.8355 0.0760174 0.0554129 0.202982 0.128423 0.493528 3.0687
525 125 48.9544 0.0686247 0.047979 0.182865 0.113445 0.44442 3.40902
